packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.test,ZoieTest,testSegmentTermDocs,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,65,0.02
proj.zoie.test,ZoieTest,testSegmentTermDocs,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",55,65,0.85
proj.zoie.impl.indexing,NoopReaderCache,"",log4j:log4j,Logging Frameworks,logging,3,5,0.6
proj.zoie.impl.indexing,NoopReaderCache,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,5,0.4
proj.zoie.impl.indexing.internal,DefaultRAMIndexFactory,newInstance,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.impl.indexing,ZoieSystem,refreshDiskReader,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing,ZoieSystem,setPurgeFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,"",log4j:log4j,Logging Frameworks,logging,3,14,0.21
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,14,0.79
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,stop,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.api.impl.util,IntSetAccelerator,hashCode,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.api.impl.util,LongSetAccelerator,longIterator,it.unimi.dsi:fastutil,Collections,"collections,structures",3,3,1.0
proj.zoie.hourglass.impl,Hourglass,loadArchives,log4j:log4j,Logging Frameworks,logging,6,18,0.33
proj.zoie.hourglass.impl,Hourglass,loadArchives,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,18,0.67
proj.zoie.impl.indexing,ZoieSystem,start,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,consume,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,34,0.24
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,consume,log4j:log4j,Logging Frameworks,logging,8,34,0.24
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,consume,it.unimi.dsi:fastutil,Collections,"collections,structures",18,34,0.53
proj.zoie.test,ZoieThreadTest,testDelBigSet,junit:junit,Testing Frameworks,"testing,junit",1,3,0.33
proj.zoie.test,ZoieThreadTest,testDelBigSet,log4j:log4j,Logging Frameworks,logging,2,3,0.67
proj.zoie.hourglass.impl,Box,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,9,0.22
proj.zoie.hourglass.impl,Box,"",log4j:log4j,Logging Frameworks,logging,7,9,0.78
proj.zoie.test,ZoieTest,testRealtime2,junit:junit,Testing Frameworks,"testing,junit",2,15,0.13
proj.zoie.test,ZoieTest,testRealtime2,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,15,0.87
proj.zoie.api.impl.util,IntSetAccelerator,toArray,it.unimi.dsi:fastutil,Collections,"collections,structures",5,5,1.0
proj.zoie.impl.indexing.internal,SearchIndexManager,purgeIndex,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,getSnapshot,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
proj.zoie.impl.indexing.internal,DelegateIndexDataConsumer,"",log4j:log4j,Logging Frameworks,logging,3,3,1.0
proj.zoie.impl.indexing.internal,RAMSearchIndex,refresh,it.unimi.dsi:fastutil,Collections,"collections,structures",3,3,1.0
proj.zoie.api.impl,ZoieMergePolicy,setNumLargeSegments,log4j:log4j,Logging Frameworks,logging,2,3,0.67
proj.zoie.api.impl,ZoieMergePolicy,setNumLargeSegments,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,3,0.33
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,"",log4j:log4j,Logging Frameworks,logging,7,7,1.0
proj.zoie.pair.impl,Pair,"",log4j:log4j,Logging Frameworks,logging,5,9,0.56
proj.zoie.pair.impl,Pair,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,9,0.44
proj.zoie.api.impl.util,IntSetAccelerator,retainAll,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,decorate,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,fireNewVersionEvent,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.api,ZoieSegmentReader,markDeletes,it.unimi.dsi:fastutil,Collections,"collections,structures",14,14,1.0
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getArchivedVersion,log4j:log4j,Logging Frameworks,logging,6,6,1.0
proj.zoie.perf.indexing,LinedFileDataProvider,start,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",1,1,1.0
proj.zoie.api.impl.util,IntSetAccelerator,isEmpty,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.impl.indexing,AsyncDataConsumer,consume,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.api,ZoieMultiReader,getStoredValue,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,shutdown,log4j:log4j,Logging Frameworks,logging,8,8,1.0
proj.zoie.hourglass.impl,Box,shutdown,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,7,0.14
proj.zoie.hourglass.impl,Box,shutdown,log4j:log4j,Logging Frameworks,logging,6,7,0.86
proj.zoie.impl.indexing,AsyncDataConsumer,"",log4j:log4j,Logging Frameworks,logging,3,3,1.0
proj.zoie.impl.indexing,SmartReaderCache,newMaintenanceThread,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.tools.luke,ZoiePlugin,toUID,it.unimi.dsi:fastutil,Collections,"collections,structures",6,6,1.0
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,processBatch,log4j:log4j,Logging Frameworks,logging,14,14,1.0
proj.zoie.api.impl.util,LongSetAccelerator,isEmpty,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.impl.indexing,ZoieConfig,getSimilarity,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
proj.zoie.store,LuceneStore,mapDocId,it.unimi.dsi:fastutil,Collections,"collections,structures",2,2,1.0
proj.zoie.test,ZoieTest,testIndexWithAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",47,53,0.89
proj.zoie.test,ZoieTest,testIndexWithAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,53,0.02
proj.zoie.test,ZoieTest,testIndexWithAnalyzer,junit:junit,Testing Frameworks,"testing,junit",5,53,0.09
proj.zoie.hourglass.impl,Hourglass,"",log4j:log4j,Logging Frameworks,logging,5,6,0.83
proj.zoie.hourglass.impl,Hourglass,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,6,0.17
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,consume,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.store,AbstractZoieStore,put,it.unimi.dsi:fastutil,Collections,"collections,structures",2,2,1.0
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getAllArchivedDirectories,log4j:log4j,Logging Frameworks,logging,2,10,0.2
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getAllArchivedDirectories,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,10,0.8
proj.zoie.impl.indexing,ZoieSystem,purgeIndex,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing.internal,RAMIndexFactory,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.dataprovider.jms,JMSStreamDataProvider,setStartingOffset,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testExceptionRecovery,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",13,16,0.81
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testExceptionRecovery,org.mockito:mockito-all,Mocking,"mock,mocking,testing",1,16,0.06
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testExceptionRecovery,junit:junit,Testing Frameworks,"testing,junit",2,16,0.13
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.test,ZoieTest,countHits,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",25,25,1.0
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,setPurgeFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
proj.zoie.api,DefaultDirectoryManager,saveSignature,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.api.impl,ZoieMergePolicy,size,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
